tên hồ,Qve,Tqx,Qxt,Qxm
A Vương,38.2,38.2,0.0,38.2
Sông Bung 2,16.32,16.32,0.0,16.32
Vĩnh Sơn A,2.81,13.2,0.0,13.2
Sông Bung 4,75.0,75.0,0.0,75.0
Vĩnh Sơn B,10.35,5.85,5.85,0.0
Vĩnh Sơn C,2.8,0.8,0.8,0.0
Sông Tranh 2,203.7,203.7,5.7,198.0
Sông Ba Hạ,235.0,400.0,0.0,400.0
Sông Hinh,104.83,104.83,50.0,54.83
A Vương,49.94,76.1,0.0,76.1
Sông Bung 2,8.85,16.32,0.0,16.32
Vĩnh Sơn A,2.81,13.2,0.0,13.2
Sông Bung 4,75.0,75.0,0.0,75.0
Vĩnh Sơn B,7.96,5.46,5.46,0.0
Vĩnh Sơn C,4.8,0.8,0.8,0.0
Sông Tranh 2,146.91,203.7,5.7,198.0
Sông Ba Hạ,50.0,0.0,0.0,0.0
Sông Hinh,104.83,104.83,50.0,54.83
A Vương,27.3,76.1,0.0,76.1
Sông Bung 2,17.82,25.29,0.0,25.29
Vĩnh Sơn A,3.31,13.7,0.5,13.2
Sông Bung 4,106.56,150.0,0.0,150.0
Vĩnh Sơn B,7.57,5.07,5.07,0.0
Vĩnh Sơn C,5.47,1.47,1.47,0.0
Sông Tranh 2,146.91,203.7,5.7,198.0
Sông Ba Hạ,54.0,238.0,0.0,238.0
Sông Hinh,104.83,104.83,50.0,54.83
A Vương,51.7,76.1,0.0,76.1
Sông Bung 2,17.69,32.64,0.0,32.64
Vĩnh Sơn A,7.03,13.53,0.33,13.2
Sông Bung 4,75.0,75.0,0.0,75.0
Vĩnh Sơn B,7.76,5.26,5.26,0.0
Vĩnh Sơn C,4.63,0.63,0.63,0.0
Sông Tranh 2,146.9,203.7,5.7,198.0
Sông Ba Hạ,137.0,350.0,0.0,350.0
Sông Hinh,154.83,154.82999999999998,100.0,54.83
A Vương,43.3,67.7,0.0,67.7
Sông Bung 2,17.69,32.64,0.0,32.64
Vĩnh Sơn A,4.4,13.399999999999999,0.2,13.2
Sông Bung 4,75.0,75.0,0.0,75.0
Vĩnh Sơn B,6.19780880773362,5.07,5.07,0.0
Vĩnh Sơn C,3.63,0.63,0.63,0.0
Sông Tranh 2,175.37,203.7,5.7,198.0
Sông Ba Hạ,180.0,345.0,0.0,345.0
Sông Hinh,154.83,154.82999999999998,100.0,54.83
A Vương,49.3,73.7,0.0,73.7
Sông Bung 2,17.69,32.64,0.0,32.64
Vĩnh Sơn A,4.37,13.37,0.17,13.2
Sông Bung 4,106.56,150.0,0.0,150.0
Vĩnh Sơn B,11.48,4.49,4.49,0.0
Vĩnh Sơn C,2.42,0.42,0.42,0.0
Sông Tranh 2,146.9,203.7,5.7,198.0
Sông Ba Hạ,165.0,240.0,0.0,240.0
