tên hồ,Qve,Tqx,Qxt,Qxm
Bản Chát,11.5,0.0,0,0.0
Huội Quảng,5.3,0.0,0,0.0
Sơn La,861.0,0.0,0,0.0
Hòa Bình,200.0,829.0,0,829.0
Thác Bà,117.17051509769094,0.0,0,0.0
Bản Chát,11.5,0.0,0,0.0
Huội Quảng,16.6,0.0,0,0.0
Sơn La,429.0,262.0,0,262.0
Hòa Bình,402.0,569.0,0,569.0
Thác Bà,117.17051509769094,0.0,0,0.0
Bản Chát,11.5,0.0,0,0.0
Huội Quảng,27.8,0.0,0,0.0
Sơn La,537.0,93.0,0,93.0
Hòa Bình,734.0,807.0,0,807.0
Thác Bà,117.17051509769094,131.36,0,131.36
Bản Chát,19.7,0.0,0,0.0
Huội Quảng,39.1,0.0,0,0.0
Sơn La,556.0,0.0,0,0.0
Hòa Bình,140.0,515.0,0,515.0
Thác Bà,117.17051509769094,48.32,0,48.32
Bản Chát,11.5,0.0,0,0.0
Huội Quảng,39.1,0.0,0,0.0
Sơn La,840.0,562.0,0,562.0
Hòa Bình,607.0,680.0,0,680.0
Thác Bà,117.17051509769094,131.19,0,131.19
Bản Chát,11.5,0.0,0,0.0
Huội Quảng,16.6,0.0,0,0.0
Sơn La,769.0,380.0,0,380.0
Hòa Bình,658.0,825.0,0,825.0
Thác Bà,117.17051509769094,0.0,0,0.0
Bản Chát,11.5,0.0,0,0.0
Huội Quảng,27.8,0.0,0,0.0
Sơn La,825.0,547.0,0,547.0
Hòa Bình,295.0,928.0,0,928.0
Thác Bà,117.17051509769094,0.0,0,0.0
Bản Chát,11.5,0.0,0,0.0
Huội Quảng,5.3,0.0,0,0.0
Sơn La,444.0,0.0,0,0.0
Hòa Bình,40.0,699.0,0,699.0
Thác Bà,117.17051509769094,0.0,0,0.0
Bản Chát,11.5,0.0,0,0.0
Huội Quảng,5.3,0.0,0,0.0
Sơn La,186.0,186.0,0,186.0
Hòa Bình,904.0,1254.0,0,1254.0
Thác Bà,117.17051509769094,0.0,0,0.0
Bản Chát,11.5,0.0,0,0.0
Huội Quảng,5.3,0.0,0,0.0
Sơn La,588.0,588.0,0,588.0
Hòa Bình,724.0,2000.0,0,2000.0
Thác Bà,117.17051509769094,418.75,0,418.75
Bản Chát,19.7,0.0,0,0.0
Huội Quảng,5.3,0.0,0,0.0
