tên hồ,Qve,Tqx,Qxt,Qxm
Pleikrông,30.0,42.0,0.0,42.0
Ialy,153.0,309.0,0.0,309.0
Sê San 3,316.0,243.0,0.0,243.0
Sê San 3A,216.0,245.0,0.0,245.0
Sê San 4,230.0,230.0,0.0,230.0
Kanak,20.7,0.0,0.0,0.0
An Khê,3.98,4.0,4.0,0.0
Srêpốk 3,403.0,412.76,0.76,412.0
Buôn Kuốp,193.0,306.0,0.0,306.0
Buôn Tua Srah,75.0,85.0,0.0,85.0
Đồng Nai 3,25.49,156.5,0.0,156.5
Đồng Nai 4,161.5,161.5,2.5,159.0
Đơn Dương,24.51,11.14,0.0,11.14
Đại Ninh,20.0,55.7,0.7,55.0
Hàm Thuận,20.17,26.869999999999997,2.9,23.97
Đa Mi,25.69,45.13,0.0,45.13
Pleikrông,150.0,136.0,0.0,136.0
Ialy,193.0,271.0,0.0,271.0
Sê San 3,281.0,332.0,0.0,332.0
Sê San 3A,472.0,520.0,0.0,520.0
Sê San 4,166.0,460.0,0.0,460.0
Kanak,8.21,28.0,0.0,28.0
An Khê,12.61,4.0,4.0,0.0
Srêpốk 3,255.0,412.76,0.76,412.0
Buôn Kuốp,231.0,302.0,0.0,302.0
Buôn Tua Srah,90.0,85.0,0.0,85.0
Đồng Nai 3,127.39,156.5,0.0,156.5
Đồng Nai 4,171.98,160.52,2.5,158.02
Đơn Dương,24.17,26.5,0.0,26.5
Đại Ninh,16.0,53.7,0.7,53.0
Hàm Thuận,46.43,93.36,2.9,90.46
Đa Mi,42.36,35.97,0.0,35.97
Pleikrông,149.0,114.0,0.0,114.0
Ialy,244.0,400.0,0.0,400.0
Sê San 3,414.0,300.0,0.0,300.0
Sê San 3A,302.0,511.0,0.0,511.0
Sê San 4,230.0,230.0,0.0,230.0
Kanak,9.12,28.0,0.0,28.0
An Khê,32.4,32.4,4.0,28.4
Srêpốk 3,376.0,412.75,0.75,412.0
Buôn Kuốp,185.0,300.0,0.0,300.0
Buôn Tua Srah,64.0,111.0,0.0,111.0
Đồng Nai 3,134.31,163.42,0.0,163.42
Đồng Nai 4,162.2,173.65,2.5,171.15
Đơn Dương,18.65,31.45,0.0,31.45
Đại Ninh,13.0,55.7,0.7,55.0
Hàm Thuận,27.66,61.18,2.9,58.28
Đa Mi,59.72,0.0,0.0,0.0
Pleikrông,66.0,101.0,0.0,101.0
Ialy,244.0,400.0,0.0,400.0
Sê San 3,414.0,486.0,0.0,486.0
Sê San 3A,490.0,508.0,0.0,508.0
Sê San 4,470.0,470.0,0.0,470.0
Kanak,8.41,28.0,0.0,28.0
An Khê,34.76,52.0,4.0,48.0
Srêpốk 3,299.0,410.74,0.74,410.0
Buôn Kuốp,221.0,298.0,0.0,298.0
Buôn Tua Srah,9.0,170.0,0.0,170.0
Đồng Nai 3,132.16,88.49,0.0,88.49
Đồng Nai 4,90.31,159.06,2.5,156.56
Đơn Dương,24.25,31.81,0.0,31.81
Đại Ninh,23.0,55.7,0.7,55.0
Hàm Thuận,20.7,54.22,2.9,51.32
Đa Mi,51.67,0.0,0.0,0.0
Pleikrông,101.0,101.0,0.0,101.0
Ialy,247.0,400.0,0.0,400.0
Sê San 3,412.0,486.0,0.0,486.0
Sê San 3A,486.0,486.0,0.0,486.0
Sê San 4,470.0,470.0,0.0,470.0
Kanak,8.87,28.0,0.0,28.0
An Khê,37.39,46.0,4.0,42.0
Srêpốk 3,290.0,279.72,0.72,279.0
Buôn Kuốp,185.0,300.0,0.0,300.0
Buôn Tua Srah,64.0,85.0,0.0,85.0
Đồng Nai 3,74.0,88.57,0.0,88.57
Đồng Nai 4,98.41,109.87,2.5,107.37
Đơn Dương,34.63,31.72,0.0,31.72
Đại Ninh,13.0,55.7,0.7,55.0
Hàm Thuận,23.01,2.9,2.9,0.0
Đa Mi,1.14,10.86,0.0,10.86
Pleikrông,171.0,101.0,0.0,101.0
Ialy,252.0,404.0,0.0,404.0
Sê San 3,416.0,486.0,0.0,486.0
Sê San 3A,473.0,473.0,0.0,473.0
Sê San 4,460.0,460.0,0.0,460.0
Kanak,14.7,28.0,0.0,28.0
An Khê,35.47,46.0,4.0,42.0
Srêpốk 3,269.0,407.72,0.72,407.0
Buôn Kuốp,199.0,276.0,0.0,276.0
Buôn Tua Srah,98.0,85.0,0.0,85.0
Đồng Nai 3,103.05,88.49,0.0,88.49
Đồng Nai 4,91.01,79.55,2.5,77.05
Đơn Dương,32.04,31.72,0.0,31.72
Đại Ninh,17.0,54.7,0.7,54.0
Hàm Thuận,17.54,37.65,2.9,34.75
Đa Mi,34.93,9.1,0.0,9.1
Pleikrông,175.0,100.0,0.0,100.0
Ialy,178.0,404.0,0.0,404.0
Sê San 3,416.0,287.0,0.0,287.0
Sê San 3A,207.0,441.0,0.0,441.0
Sê San 4,166.0,460.0,0.0,460.0
Kanak,13.8,14.0,0.0,14.0
An Khê,35.46,46.0,4.0,42.0
Srêpốk 3,248.0,405.72,0.72,405.0
Buôn Kuốp,190.0,270.0,0.0,270.0
Buôn Tua Srah,64.0,85.0,0.0,85.0
Đồng Nai 3,88.57,88.57,0.0,88.57
Đồng Nai 4,91.01,79.55,2.5,77.05
Đơn Dương,26.84,31.78,0.0,31.78
Đại Ninh,14.0,52.7,0.7,52.0
Hàm Thuận,26.52,80.16000000000001,2.9,77.26
Đa Mi,77.26,55.57,0.0,55.57
Pleikrông,134.0,99.0,0.0,99.0
Ialy,169.0,318.0,0.0,318.0
Sê San 3,328.0,411.0,0.0,411.0
Sê San 3A,418.0,390.0,0.0,390.0
Sê San 4,377.0,230.0,0.0,230.0
Kanak,11.6,28.0,0.0,28.0
An Khê,20.29,46.0,4.0,42.0
Srêpốk 3,362.0,402.7,0.7,402.0
Buôn Kuốp,172.0,300.0,0.0,300.0
Buôn Tua Srah,23.0,85.0,0.0,85.0
Đồng Nai 3,88.65,88.65,0.0,88.65
Đồng Nai 4,79.91,79.91,2.5,77.41
Đơn Dương,24.14,31.7,0.0,31.7
Đại Ninh,18.0,44.7,0.7,44.0
Hàm Thuận,21.99,42.1,2.9,39.2
Đa Mi,39.62,23.51,0.0,23.51
Pleikrông,134.0,99.0,0.0,99.0
Ialy,229.0,379.0,0.0,379.0
Sê San 3,392.0,243.0,0.0,243.0
Sê San 3A,443.0,443.0,0.0,443.0
Sê San 4,524.0,230.0,0.0,230.0
Kanak,11.9,28.0,0.0,28.0
An Khê,34.12,48.5,4.0,44.5
Srêpốk 3,330.0,399.69,0.69,399.0
Buôn Kuốp,170.0,298.0,0.0,298.0
Buôn Tua Srah,29.0,85.0,0.0,85.0
Đồng Nai 3,8.59,88.65,0.0,88.65
Đồng Nai 4,98.48,87.03,2.5,84.53
Đơn Dương,18.89,31.68,0.0,31.68
Đại Ninh,11.0,55.7,0.7,55.0
Hàm Thuận,8.25,68.59,2.9,65.69
Đa Mi,67.39,31.83,0.0,31.83
Pleikrông,99.0,99.0,0.0,99.0
Ialy,245.0,396.0,0.0,396.0
Sê San 3,408.0,450.0,0.0,450.0
Sê San 3A,471.0,547.0,0.0,547.0
Sê San 4,671.0,230.0,0.0,230.0
Kanak,10.6,28.0,0.0,28.0
An Khê,7.83,25.0,4.0,21.0
Srêpốk 3,355.0,203.68,0.68,203.0
Buôn Kuốp,147.0,300.0,0.0,300.0
Buôn Tua Srah,32.0,85.0,0.0,85.0
Đồng Nai 3,88.65,88.65,0.0,88.65
Đồng Nai 4,91.57,57.2,2.5,54.7
Đơn Dương,18.83,31.62,0.0,31.62
Đại Ninh,13.0,55.7,0.7,55.0
Hàm Thuận,15.03,8.33,2.9,5.43
Đa Mi,6.57,4.9,0.0,4.9
Pleikrông,76.0,99.0,0.0,99.0
Ialy,189.0,264.0,0.0,264.0
Sê San 3,273.0,263.0,0.0,263.0
Sê San 3A,245.0,220.0,0.0,220.0
Sê San 4,230.0,230.0,0.0,230.0
Kanak,9.15,28.0,0.0,28.0
An Khê,33.42,46.0,4.0,42.0
Srêpốk 3,181.0,393.67,0.67,393.0
Buôn Kuốp,154.0,302.0,0.0,302.0
Buôn Tua Srah,18.0,135.0,0.0,135.0
Đồng Nai 3,1.31,88.65,0.0,88.65
Đồng Nai 4,95.82,95.82,2.5,93.32
Đơn Dương,18.66,10.52,0.0,10.52
Đại Ninh,16.0,45.7,0.7,45.0
Hàm Thuận,16.21,9.51,2.9,6.61
Đa Mi,7.82,6.15,0.0,6.15
Pleikrông,134.0,99.0,0.0,99.0
Ialy,242.0,167.0,0.0,167.0
Sê San 3,180.0,243.0,0.0,243.0
Sê San 3A,292.0,281.0,0.0,281.0
Sê San 4,387.0,240.0,0.0,240.0
Kanak,10.2,20.52,0.0,20.52
An Khê,34.69,46.0,4.0,42.0
Srêpốk 3,276.0,202.69,0.69,202.0
Buôn Kuốp,147.0,300.0,0.0,300.0
Buôn Tua Srah,26.0,146.0,0.0,146.0
Đồng Nai 3,86.6,86.6,0.0,86.6
Đồng Nai 4,98.25,86.79,2.5,84.29
Đơn Dương,23.03,20.13,0.0,20.13
Đại Ninh,10.0,35.7,0.7,35.0
