tên hồ,Thời điểm,htl,dbt,hc,Qve,Tqx,Qxt,Qxm,Ncxs,Ncxm
A Vương,01/01 23:00,379.97,380.0,340.0,38.2,38.2,0.0,38.2,0,0
Sông Bung 2,01/01 23:00,605.0,605.0,565.0,16.32,16.32,0.0,16.32,0,0
Vĩnh Sơn A,01/01 23:00,775.25,775.0,765.0,2.81,13.2,0.0,13.2,0,0
Sông Bung 4,01/01 23:00,222.62,222.5,205.0,75.0,75.0,0.0,75.0,0,0
Vĩnh Sơn B,01/01 23:00,826.3,826.0,813.6,10.35,5.85,5.85,,0,0
Vĩnh Sơn C,01/01 23:00,981.12,981.0,971.3,2.8,0.8,0.8,,0,0
Sông Tranh 2,01/01 23:00,175.0,175.0,140.0,203.7,203.7,5.7,198.0,0,0
Sông Ba Hạ,01/01 23:00,104.26,105.0,101.0,235.0,400.0,0.0,400.0,0,0
Sông Hinh,01/01 23:00,209.0,209.0,196.0,104.83,104.83,50.0,54.83,0,0
A Vương,02/01 23:00,380.08,380.0,340.0,49.94,76.1,0.0,76.1,0,0
Sông Bung 2,02/01 23:00,604.82,605.0,565.0,8.85,16.32,0.0,16.32,0,0
Vĩnh Sơn A,02/01 23:00,775.2,775.0,765.0,2.81,13.2,0.0,13.2,0,0
Sông Bung 4,02/01 23:00,222.55,222.5,205.0,75.0,75.0,0.0,75.0,0,0
Vĩnh Sơn B,02/01 23:00,826.28,826.0,813.6,7.96,5.46,5.46,,0,0
Vĩnh Sơn C,02/01 23:00,981.12,981.0,971.3,4.8,0.8,0.8,,0,0
Sông Tranh 2,02/01 23:00,174.98,175.0,140.0,146.91,203.7,5.7,198.0,0,0
Sông Ba Hạ,02/01 23:00,104.36,105.0,101.0,50.0,0.0,0.0,0.0,0,0
Sông Hinh,02/01 23:00,209.0,209.0,196.0,104.83,104.83,50.0,54.83,0,0
A Vương,03/01 23:00,379.88,380.0,340.0,27.3,76.1,0.0,76.1,0,0
Sông Bung 2,03/01 23:00,604.57,605.0,565.0,17.82,25.29,0.0,25.29,0,0
Vĩnh Sơn A,03/01 23:00,775.15,775.0,765.0,3.31,13.7,0.5,13.2,0,0
Sông Bung 4,03/01 23:00,222.6,222.5,205.0,106.56,150.0,0.0,150.0,0,0
Vĩnh Sơn B,03/01 23:00,826.26,826.0,813.6,7.57,5.07,5.07,,0,0
Vĩnh Sơn C,03/01 23:00,981.07,981.0,971.3,5.47,1.47,1.47,,0,0
Sông Tranh 2,03/01 23:00,174.97,175.0,140.0,146.91,203.7,5.7,198.0,0,0
Sông Ba Hạ,03/01 21:00,104.41,105.0,101.0,54.0,238.0,0.0,238.0,0,0
Sông Hinh,03/01 23:00,209.0,209.0,196.0,104.83,104.83,50.0,54.83,0,0
A Vương,04/01 23:00,379.63,380.0,340.0,51.7,76.1,0.0,76.1,0,0
Sông Bung 2,04/01 23:00,604.43,605.0,565.0,17.69,32.64,0.0,32.64,0,0
Vĩnh Sơn A,04/01 23:00,775.1,775.0,765.0,7.03,13.53,0.33,13.2,0,0
Sông Bung 4,04/01 23:00,222.54,222.5,205.0,75.0,75.0,0.0,75.0,0,0
Vĩnh Sơn B,04/01 23:00,826.27,826.0,813.6,7.76,5.26,5.26,,0,0
Vĩnh Sơn C,04/01 23:00,981.03,981.0,971.3,4.63,0.63,0.63,,0,0
Sông Tranh 2,04/01 23:00,174.84,175.0,140.0,146.9,203.7,5.7,198.0,0,0
Sông Ba Hạ,04/01 23:00,104.36,105.0,101.0,137.0,350.0,0.0,350.0,0,0
Sông Hinh,04/01 23:00,209.0,209.0,196.0,154.83,154.83,100.0,54.83,0,0
A Vương,05/01 23:00,379.61,380.0,340.0,43.3,67.7,0.0,67.7,0,0
Sông Bung 2,05/01 23:00,604.27,605.0,565.0,17.69,32.64,0.0,32.64,0,0
Vĩnh Sơn A,05/01 23:00,775.06,775.0,765.0,4.4,13.4,0.2,13.2,0,0
Sông Bung 4,05/01 23:00,222.42,222.5,205.0,75.0,75.0,0.0,75.0,0,0
Vĩnh Sơn B,05/01 23:00,826.26,826.0,813.6,0.0,5.07,5.07,,0,0
Vĩnh Sơn C,05/01 23:00,981.03,981.0,971.3,3.63,0.63,0.63,,0,0
Sông Tranh 2,05/01 23:00,174.81,175.0,140.0,175.37,203.7,5.7,198.0,0,0
Sông Ba Hạ,05/01 23:00,104.24,105.0,101.0,180.0,345.0,0.0,345.0,0,0
Sông Hinh,05/01 23:00,209.0,209.0,196.0,154.83,154.83,100.0,54.83,0,0
A Vương,06/01 23:00,379.53,380.0,340.0,49.3,73.7,0.0,73.7,0,0
Sông Bung 2,06/01 23:00,604.24,605.0,565.0,17.69,32.64,0.0,32.64,0,0
Vĩnh Sơn A,06/01 23:00,775.05,775.0,765.0,4.37,13.37,0.17,13.2,0,0
Sông Bung 4,06/01 23:00,222.45,222.5,205.0,106.56,150.0,0.0,150.0,0,0
Vĩnh Sơn B,06/01 23:00,826.23,826.0,813.6,11.48,4.49,4.49,,0,0
Vĩnh Sơn C,06/01 23:00,981.02,981.0,971.3,2.42,0.42,0.42,,0,0
Sông Tranh 2,06/01 23:00,174.74,175.0,140.0,146.9,203.7,5.7,198.0,0,0
Sông Ba Hạ,06/01 23:00,104.22,105.0,101.0,165.0,240.0,0.0,240.0,0,0
Sông Hinh,06/01 23:00,209.0,209.0,196.0,254.83,254.83,200.0,54.83,0,0
A Vương,07/01 23:00,379.43,380.0,340.0,49.4,73.8,0.0,73.8,0,0
Sông Bung 2,07/01 23:00,604.19,605.0,565.0,17.69,32.64,0.0,32.64,0,0
Vĩnh Sơn A,07/01 23:00,775.06,775.0,765.0,4.4,13.4,0.2,13.2,0,0
Sông Bung 4,07/01 23:00,222.49,222.5,205.0,106.56,150.0,0.0,150.0,0,0
Vĩnh Sơn B,07/01 23:00,826.18,826.0,813.6,10.51,3.51,3.51,,0,0
Vĩnh Sơn C,07/01 23:00,981.01,981.0,971.3,2.21,0.21,0.21,,0,0
Sông Tranh 2,07/01 23:00,174.66,175.0,140.0,118.42,203.7,5.7,198.0,0,0
Sông Ba Hạ,07/01 23:00,104.3,105.0,101.0,140.0,0.0,0.0,0.0,0,0
Sông Hinh,07/01 23:00,209.0,209.0,196.0,154.83,154.83,100.0,54.83,0,0
A Vương,08/01 23:00,379.3,380.0,340.0,40.3,64.7,0.0,64.7,0,0
Sông Bung 2,08/01 23:00,604.14,605.0,565.0,6.14,28.56,0.0,28.56,0,0
Vĩnh Sơn A,08/01 23:00,775.06,775.0,765.0,4.4,13.4,0.2,13.2,0,0
Sông Bung 4,08/01 23:00,222.51,222.5,205.0,106.56,150.0,0.0,150.0,0,0
Vĩnh Sơn B,08/01 23:00,826.12,826.0,813.6,9.34,2.34,2.34,,0,0
Vĩnh Sơn C,08/01 23:00,981.02,981.0,971.3,8.66,0.42,0.42,,0,0
Sông Tranh 2,08/01 23:00,174.73,175.0,140.0,232.18,203.7,5.7,198.0,0,0
Sông Ba Hạ,08/01 23:00,104.42,105.0,101.0,135.0,0.0,0.0,0.0,0,0
Sông Hinh,08/01 23:00,209.0,209.0,196.0,154.83,154.83,100.0,54.83,0,0
A Vương,09/01 23:00,379.19,380.0,340.0,36.2,60.6,0.0,60.6,0,0
Sông Bung 2,09/01 23:00,604.13,605.0,565.0,15.35,30.3,0.0,30.3,0,0
Vĩnh Sơn A,09/01 23:00,775.07,775.0,765.0,4.43,13.43,0.23,13.2,0,0
Sông Bung 4,09/01 23:00,222.58,222.5,205.0,106.56,150.0,0.0,150.0,0,0
Vĩnh Sơn B,09/01 23:00,826.07,826.0,813.6,6.36,1.36,1.36,,0,0
Vĩnh Sơn C,09/01 23:00,981.02,981.0,971.3,4.42,0.42,0.42,,0,0
Sông Tranh 2,09/01 23:00,174.74,175.0,140.0,146.9,203.7,5.7,198.0,0,0
Sông Ba Hạ,09/01 23:00,104.51,105.0,101.0,120.0,0.0,0.0,0.0,0,0
Sông Hinh,09/01 23:00,209.0,209.0,196.0,154.83,154.83,100.0,54.83,0,0
A Vương,10/01 23:00,379.23,380.0,340.0,15.6,64.4,0.0,64.4,0,0
Sông Bung 2,10/01 23:00,604.15,605.0,565.0,6.81,14.28,0.0,14.28,0,0
Vĩnh Sơn A,10/01 23:00,775.06,775.0,765.0,4.4,13.4,0.2,13.2,0,0
Sông Bung 4,10/01 23:00,222.63,222.5,205.0,75.0,75.0,0.0,75.0,0,0
Vĩnh Sơn B,10/01 23:00,826.05,826.0,813.6,6.08,0.98,0.98,,0,0
Vĩnh Sơn C,10/01 23:00,981.0,981.0,971.3,3.9,0.0,0.0,,0,0
