tên hồ,Thời điểm,htl,dbt,hc,Qve,Tqx,Qxt,Qxm,Ncxs,Ncxm
Bản Chát,01/01 23:00,474.8,475,431,11.5,0.0,0,0.0,0,0
Huội Quảng,01/01 23:00,368.58,370,368,5.3,0.0,0,0.0,0,0
Sơn La,01/01 23:00,214.16,215,175,861.0,0.0,0,0.0,0,0
Hòa Bình,01/01 19:00,114.88,117,80,200.0,829.0,0,829.0,0,0
Thác Bà,01/01 23:00,57.54,58,46,,0.0,0,0.0,0,0
Bản Chát,02/01 23:00,474.82,475,431,11.5,0.0,0,0.0,0,0
Huội Quảng,02/01 23:00,368.63,370,368,16.6,0.0,0,0.0,0,0
Sơn La,02/01 23:00,214.15,215,175,429.0,262.0,0,262.0,0,0
Hòa Bình,02/01 19:00,114.71,117,80,402.0,569.0,0,569.0,0,0
Thác Bà,02/01 23:00,57.53,58,46,,0.0,0,0.0,0,0
Bản Chát,03/01 23:00,474.82,475,431,11.5,0.0,0,0.0,0,0
Huội Quảng,03/01 23:00,368.6,370,368,27.8,0.0,0,0.0,0,0
Sơn La,03/01 23:00,214.05,215,175,537.0,93.0,0,93.0,0,0
Hòa Bình,03/01 19:00,114.65,117,80,734.0,807.0,0,807.0,0,0
Thác Bà,03/01 23:00,57.48,58,46,,131.36,0,131.36,0,0
Bản Chát,04/01 23:00,474.8,475,431,19.7,0.0,0,0.0,0,0
Huội Quảng,04/01 23:00,368.4,370,368,39.1,0.0,0,0.0,0,0
Sơn La,04/01 23:00,214.06,215,175,556.0,0.0,0,0.0,0,0
Hòa Bình,04/01 19:00,114.57,117,80,140.0,515.0,0,515.0,0,0
Thác Bà,04/01 23:00,57.44,58,46,,48.32,0,48.32,0,0
Bản Chát,05/01 23:00,474.8,475,431,11.5,0.0,0,0.0,0,0
Huội Quảng,05/01 23:00,368.48,370,368,39.1,0.0,0,0.0,0,0
Sơn La,05/01 23:00,214.01,215,175,840.0,562.0,0,562.0,0,0
Hòa Bình,05/01 19:00,114.38,117,80,607.0,680.0,0,680.0,0,0
Thác Bà,05/01 23:00,57.4,58,46,,131.19,0,131.19,0,0
Bản Chát,06/01 23:00,474.81,475,431,11.5,0.0,0,0.0,0,0
Huội Quảng,06/01 23:00,368.57,370,368,16.6,0.0,0,0.0,0,0
Sơn La,06/01 23:00,213.96,215,175,769.0,380.0,0,380.0,0,0
Hòa Bình,06/01 19:00,114.25,117,80,658.0,825.0,0,825.0,0,0
Thác Bà,06/01 23:00,57.38,58,46,,0.0,0,0.0,0,0
Bản Chát,07/01 23:00,474.83,475,431,11.5,0.0,0,0.0,0,0
Huội Quảng,07/01 23:00,368.7,370,368,27.8,0.0,0,0.0,0,0
Sơn La,07/01 22:00,214.01,215,175,825.0,547.0,0,547.0,0,0
Hòa Bình,07/01 19:00,114.09,117,80,295.0,928.0,0,928.0,0,0
Thác Bà,07/01 23:00,57.36,58,46,,0.0,0,0.0,0,0
Bản Chát,08/01 23:00,474.84,475,431,11.5,0.0,0,0.0,0,0
Huội Quảng,08/01 23:00,368.61,370,368,5.3,0.0,0,0.0,0,0
Sơn La,08/01 23:00,214.06,215,175,444.0,0.0,0,0.0,0,0
Hòa Bình,08/01 19:00,113.83,117,80,40.0,699.0,0,699.0,0,0
Thác Bà,08/01 23:00,57.34,58,46,,0.0,0,0.0,0,0
Bản Chát,09/01 23:00,474.84,475,431,11.5,0.0,0,0.0,0,0
Huội Quảng,09/01 23:00,368.55,370,368,5.3,0.0,0,0.0,0,0
Sơn La,09/01 23:00,214.08,215,175,186.0,186.0,0,186.0,0,0
Hòa Bình,09/01 19:00,113.62,117,80,904.0,1254.0,0,1254.0,0,0
Thác Bà,09/01 23:00,57.35,58,46,,0.0,0,0.0,0,0
Bản Chát,10/01 23:00,474.82,475,431,11.5,0.0,0,0.0,0,0
Huội Quảng,10/01 23:00,368.49,370,368,5.3,0.0,0,0.0,0,0
Sơn La,10/01 23:00,214.04,215,175,588.0,588.0,0,588.0,0,0
Hòa Bình,10/01 19:00,113.0,117,80,724.0,2000.0,0,2000.0,0,0
Thác Bà,10/01 23:00,57.25,58,46,,418.75,0,418.75,0,0
Bản Chát,11/01 23:00,474.81,475,431,19.7,0.0,0,0.0,0,0
Huội Quảng,11/01 23:00,368.38,370,368,5.3,0.0,0,0.0,0,0
Sơn La,11/01 23:00,213.98,215,175,735.0,541.0,0,541.0,0,0
Hòa Bình,11/01 19:00,112.36,117,80,680.0,2219.0,0,2219.0,0,0
Thác Bà,11/01 23:00,57.1,58,46,,420.62,0,420.62,0,0
Bản Chát,12/01 23:00,474.82,475,431,11.5,0.0,0,0.0,0,0
Huội Quảng,12/01 23:00,368.51,370,368,16.6,0.0,0,0.0,0,0
Sơn La,12/01 23:00,213.91,215,175,938.0,382.0,0,382.0,0,0
Hòa Bình,12/01 19:00,111.85,117,80,1247.0,2226.0,0,2226.0,0,0
