tên hồ,Thời điểm,htl,dbt,hc,Qve,Tqx,Qxt,Qxm,Ncxs,Ncxm
Pleikrông,01/01 23:00,569.98,570,537,30,42,0,42,0,0
Ialy,01/01 23:00,514.74,515,490,153,309,0,309,0,0
Sê San 3,01/01 23:00,304.03,304.5,303.2,316,243,0,243,0,0
Sê San 3A,01/01 23:00,238.91,239,238.5,216,245,0,245,0,0
Sê San 4,01/01 23:00,211.03,215,210,230,230,0,230,0,0
Kanak,01/01 23:00,514.97,515,485,20.7,0,0,0,0,0
An Khê,01/01 23:00,428.64,429,427,3.98,4,4,0,0,1
Srêpốk 3,01/01 23:00,271.68,272,268,403,412.76,0.76,412,2,0
Buôn Kuốp,01/01 23:00,411.17,412,409,193,306,0,306,1,0
Buôn Tua Srah,01/01 23:00,487.07,487.5,465,75,85,0,85,0,0
Đồng Nai 3,01/01 23:00,589.33,590,570,25.49,156.5,0,156.5,0,0
Đồng Nai 4,01/01 23:00,475.17,476,474,161.5,161.5,2.5,159,0,0
Đơn Dương,01/01 23:00,1042.09,1042,1018,24.51,11.14,0,11.14,0,0
Đại Ninh,01/01 23:00,879.93,880,860,20,55.7,0.7,55,0,0
Hàm Thuận,01/01 23:00,601.63,605,575,20.17,26.87,2.9,23.97,0,0
Đa Mi,01/01 23:00,323.35,325,323,25.69,45.13,0,45.13,0,0
Pleikrông,02/01 23:00,569.98,570,537,150,136,0,136,0,0
Ialy,02/01 23:00,514.74,515,490,193,271,0,271,0,0
Sê San 3,02/01 23:00,303.55,304.5,303.2,281,332,0,332,0,0
Sê San 3A,02/01 23:00,238.99,239,238.5,472,520,0,520,0,0
Sê San 4,02/01 23:00,210.86,215,210,166,460,0,460,0,0
Kanak,02/01 23:00,514.96,515,485,8.21,28,0,28,0,0
An Khê,02/01 23:00,428.43,429,427,12.61,4,4,0,0,1
Srêpốk 3,02/01 23:00,271.52,272,268,255,412.76,0.76,412,2,0
Buôn Kuốp,02/01 23:00,409.89,412,409,231,302,0,302,1,0
Buôn Tua Srah,02/01 23:00,487.05,487.5,465,90,85,0,85,0,0
Đồng Nai 3,02/01 23:00,589.31,590,570,127.39,156.5,0,156.5,0,0
Đồng Nai 4,02/01 23:00,475.27,476,474,171.98,160.52,2.5,158.02,0,0
Đơn Dương,02/01 23:00,1042.2,1042,1018,24.17,26.5,0,26.5,0,0
Đại Ninh,02/01 23:00,879.83,880,860,16,53.7,0.7,53,0,0
Hàm Thuận,02/01 23:00,601.64,605,575,46.43,93.36,2.9,90.46,0,0
Đa Mi,02/01 23:00,323.3,325,323,42.36,35.97,0,35.97,0,0
Pleikrông,03/01 23:00,569.98,570,537,149,114,0,114,0,0
Ialy,03/01 23:00,514.69,515,490,244,400,0,400,0,0
Sê San 3,03/01 23:00,303.8,304.5,303.2,414,300,0,300,0,0
Sê San 3A,03/01 23:00,238.85,239,238.5,302,511,0,511,0,0
Sê San 4,03/01 23:00,210.89,215,210,230,230,0,230,0,0
Kanak,03/01 23:00,514.85,515,485,9.12,28,0,28,0,0
An Khê,03/01 23:00,428.57,429,427,32.4,32.4,4,28.4,0,1
Srêpốk 3,03/01 23:00,271.33,272,268,376,412.75,0.75,412,2,0
Buôn Kuốp,03/01 23:00,409.8,412,409,185,300,0,300,0,0
Buôn Tua Srah,03/01 23:00,487.01,487.5,465,64,111,0,111,0,0
Đồng Nai 3,03/01 23:00,589.29,590,570,134.31,163.42,0,163.42,0,0
Đồng Nai 4,03/01 23:00,475.28,476,474,162.2,173.65,2.5,171.15,0,0
Đơn Dương,03/01 23:00,1042.18,1042,1018,18.65,31.45,0,31.45,0,0
Đại Ninh,03/01 23:00,879.78,880,860,13,55.7,0.7,55,0,0
Hàm Thuận,03/01 23:00,601.64,605,575,27.66,61.18,2.9,58.28,0,0
Đa Mi,03/01 23:00,323.55,325,323,59.72,0,0,0,0,0
Pleikrông,04/01 23:00,569.98,570,537,66,101,0,101,0,0
Ialy,04/01 23:00,514.39,515,490,244,400,0,400,0,0
Sê San 3,04/01 23:00,304.02,304.5,303.2,414,486,0,486,0,0
Sê San 3A,04/01 23:00,238.82,239,238.5,490,508,0,508,0,0
Sê San 4,04/01 23:00,210.94,215,210,470,470,0,470,0,0
Kanak,04/01 23:00,514.75,515,485,8.41,28,0,28,0,0
An Khê,04/01 23:00,428.43,429,427,34.76,52,4,48,0,1
Srêpốk 3,04/01 23:00,270.79,272,268,299,410.74,0.74,410,2,0
Buôn Kuốp,04/01 23:00,409.18,412,409,221,298,0,298,0,0
Buôn Tua Srah,04/01 23:00,486.89,487.5,465,9,170,0,170,0,0
Đồng Nai 3,04/01 23:00,589.31,590,570,132.16,88.49,0,88.49,0,0
Đồng Nai 4,04/01 21:00,475.33,476,474,90.31,159.06,2.5,156.56,0,0
Đơn Dương,04/01 23:00,1042.13,1042,1018,24.25,31.81,0,31.81,0,0
Đại Ninh,04/01 23:00,879.72,880,860,23,55.7,0.7,55,0,0
Hàm Thuận,04/01 23:00,601.51,605,575,20.7,54.22,2.9,51.32,0,0
Đa Mi,04/01 23:00,323.64,325,323,51.67,0,0,0,0,0
Pleikrông,05/01 23:00,569.98,570,537,101,101,0,101,0,0
Ialy,05/01 23:00,514.12,515,490,247,400,0,400,0,0
Sê San 3,05/01 23:00,304.19,304.5,303.2,412,486,0,486,0,0
Sê San 3A,05/01 23:00,238.62,239,238.5,486,486,0,486,0,0
Sê San 4,05/01 23:00,210.95,215,210,470,470,0,470,0,0
Kanak,05/01 23:00,514.65,515,485,8.87,28,0,28,0,0
An Khê,05/01 23:00,428.24,429,427,37.39,46,4,42,0,1
Srêpốk 3,05/01 23:00,270.41,272,268,290,279.72,0.72,279,2,0
Buôn Kuốp,05/01 23:00,409.71,412,409,185,300,0,300,0,0
Buôn Tua Srah,05/01 23:00,486.89,487.5,465,64,85,0,85,0,0
Đồng Nai 3,05/01 23:00,589.28,590,570,74,88.57,0,88.57,0,0
Đồng Nai 4,05/01 23:00,475.33,476,474,98.41,109.87,2.5,107.37,0,0
Đơn Dương,05/01 23:00,1042.13,1042,1018,34.63,31.72,0,31.72,0,0
Đại Ninh,05/01 23:00,879.66,880,860,13,55.7,0.7,55,0,0
Hàm Thuận,05/01 23:00,601.52,605,575,23.01,2.9,2.9,0,0,0
Đa Mi,05/01 23:00,323.56,325,323,1.14,10.86,0,10.86,0,0
Pleikrông,06/01 23:00,569.98,570.0,537.0,171.0,101.0,0.0,101.0,0,0
Ialy,06/01 23:00,513.87,515.0,490.0,252.0,404.0,0.0,404.0,0,0
Sê San 3,06/01 23:00,303.98,304.5,303.2,416.0,486.0,0.0,486.0,0,0
Sê San 3A,06/01 23:00,238.65,239.0,238.5,473.0,473.0,0.0,473.0,0,0
Sê San 4,06/01 23:00,210.92,215.0,210.0,460.0,460.0,0.0,460.0,0,0
Kanak,06/01 23:00,514.58,515.0,485.0,14.7,28.0,0.0,28.0,0,0
An Khê,06/01 23:00,428.4,429.0,427.0,35.47,46.0,4.0,42.0,0,1
Srêpốk 3,06/01 23:00,270.25,272.0,268.0,269.0,407.72,0.72,407.0,2,0
Buôn Kuốp,06/01 23:00,409.27,412.0,409.0,199.0,276.0,0.0,276.0,0,0
Buôn Tua Srah,06/01 23:00,486.86,487.5,465.0,98.0,85.0,0.0,85.0,0,0
Đồng Nai 3,06/01 23:00,589.26,590.0,570.0,103.05,88.49,0.0,88.49,0,0
Đồng Nai 4,06/01 23:00,475.27,476.0,474.0,91.01,79.55,2.5,77.05,0,0
Đơn Dương,06/01 23:00,1042.14,1042.0,1018.0,32.04,31.72,0.0,31.72,0,0
Đại Ninh,06/01 23:00,879.59,880.0,860.0,17.0,54.7,0.7,54.0,0,0
Hàm Thuận,06/01 23:00,601.5,605.0,575.0,17.54,37.65,2.9,34.75,0,0
Đa Mi,06/01 23:00,323.55,325.0,323.0,34.93,9.1,0.0,9.1,0,0
Pleikrông,07/01 23:00,569.97,570.0,537.0,175.0,100.0,0.0,100.0,0,0
Ialy,07/01 23:00,513.66,515.0,490.0,178.0,404.0,0.0,404.0,0,0
Sê San 3,07/01 23:00,303.85,304.5,303.2,416.0,287.0,0.0,287.0,0,0
Sê San 3A,07/01 23:00,238.55,239.0,238.5,207.0,441.0,0.0,441.0,0,0
Sê San 4,07/01 23:00,210.91,215.0,210.0,166.0,460.0,0.0,460.0,0,0
Kanak,07/01 23:00,514.54,515.0,485.0,13.8,14.0,0.0,14.0,0,0
An Khê,07/01 23:00,428.45,429.0,427.0,35.46,46.0,4.0,42.0,0,1
Srêpốk 3,07/01 23:00,270.13,272.0,268.0,248.0,405.72,0.72,405.0,2,0
Buôn Kuốp,07/01 23:00,410.0,412.0,409.0,190.0,270.0,0.0,270.0,0,0
Buôn Tua Srah,07/01 23:00,486.87,487.5,465.0,64.0,85.0,0.0,85.0,0,0
Đồng Nai 3,07/01 23:00,589.23,590.0,570.0,88.57,88.57,0.0,88.57,0,0
Đồng Nai 4,07/01 23:00,475.21,476.0,474.0,91.01,79.55,2.5,77.05,0,0
Đơn Dương,07/01 23:00,1042.16,1042.0,1018.0,26.84,31.78,0.0,31.78,0,0
Đại Ninh,07/01 23:00,879.54,880.0,860.0,14.0,52.7,0.7,52.0,0,0
Hàm Thuận,07/01 23:00,601.47,605.0,575.0,26.52,80.16,2.9,77.26,0,0
Đa Mi,07/01 23:00,323.53,325.0,323.0,77.26,55.57,0.0,55.57,0,0
Pleikrông,08/01 23:00,569.98,570.0,537.0,134.0,99.0,0.0,99.0,0,0
Ialy,08/01 23:00,513.46,515.0,490.0,169.0,318.0,0.0,318.0,0,0
Sê San 3,08/01 23:00,303.8,304.5,303.2,328.0,411.0,0.0,411.0,0,0
Sê San 3A,08/01 23:00,238.88,239.0,238.5,418.0,390.0,0.0,390.0,0,0
Sê San 4,08/01 23:00,211.11,215.0,210.0,377.0,230.0,0.0,230.0,0,0
Kanak,08/01 23:00,514.47,515.0,485.0,11.6,28.0,0.0,28.0,0,0
An Khê,08/01 23:00,428.52,429.0,427.0,20.29,46.0,4.0,42.0,0,1
Srêpốk 3,08/01 23:00,269.71,272.0,268.0,362.0,402.7,0.7,402.0,2,0
Buôn Kuốp,08/01 23:00,409.84,412.0,409.0,172.0,300.0,0.0,300.0,0,0
Buôn Tua Srah,08/01 23:00,486.85,487.5,465.0,23.0,85.0,0.0,85.0,0,0
Đồng Nai 3,08/01 23:00,589.2,590.0,570.0,88.65,88.65,0.0,88.65,0,0
Đồng Nai 4,08/01 23:00,475.1,476.0,474.0,79.91,79.91,2.5,77.41,0,0
Đơn Dương,08/01 23:00,1042.13,1042.0,1018.0,24.14,31.7,0.0,31.7,0,0
Đại Ninh,08/01 23:00,879.48,880.0,860.0,18.0,44.7,0.7,44.0,0,0
